feature,auc_roc,accuracy
exclusion_num,0.5388453130316041,0.9071535393818543
inclusion_num,0.5514295514078837,0.9071535393818543
inclusion_num + exclusion_num,0.5732108824595162,0.9071535393818543
sentence_num + inclusion_num + exclusion_num,0.5747516760083019,0.9071535393818543
